,video_title,video_id
0,Become A Digital Nomad,I1saRNlc8Fw
1,The Ultimate $2000 Developer PC Build! - Ryzen 9 3900X,4ThQK4xeLEI
2,How To Make Money With Code!,qQywAw9Mz0A
3,I Tried Bill Gates Think Week!,_q-etWotnWg
4,Setting Goals For 2020,TdaFbl8B7zo
5,My Christmas In Australia,vnAlCF8TRu4
6,How To Stay Motivated When Learning To Code,oyk0WPTQlhg
7,A Day In The Life Of A Software Developer,Ch7Pm6LYUaI
8,Top 4 Programming Languages To Learn In 2020,saEkj-GPN3o
9,I Coded A Trading Bot And Gave It $1000 To Trade!,-MHhA-Y3DSk
10,Programmer vs Black Friday,jN2VXxEL5z4
11,Building YOUR Apps!! #2,rRxhjKxNaRg
12,Finance Automation with Python,A3PRB1Wc0UA
13,Building An App From Scratch: Connecting Flutter with Python Backend | #7,V4iI1kf80No
14,My Daily Routine,3uH0UKn_zZE
15,Connecting Python Backend with Flutter,9HaIGMyAyug
16,One Day Builds: Amazon Clone Using Flutter,PxltFbjlrxg
17,Building An App From Scratch: Connecting Python Backend with Flutter Frontend | #5,k4FNxAGpAgg
18,Super Quick Python Project Ideas,dRpoTJV5qxg
19,How To Get More Done,LY-DsuMOVT0
20,I Spent 12 Hours Straight Coding!,Rb-dTP37QVU
21,One Day Builds: Automating My Notes With Python,pADvJUafZZc
22,Building An App From Scratch: Building a REST API with Python | #4,skVMR0048NQ
23,Building YOUR Apps!!,9X_y8FJCNb0
24,Building An App From Scratch: Building it with Flutter | #3,WdFlNQaEvOU
25,Why You Should Use Wordpress,0N7spHChUWc
26,Building An App From Scratch: Building it with Flutter | #2,i52vHm9q_nI
27,How I Make My Videos,5avmvsGd1yc
28,Building An App From Scratch: Designing the app | #1,Nikdbz6gBek
29,Python Automation Projects: Automatic desktop cleanup (Part 2),LfxZMofHs_U
